participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.vcm_round,player.individual_exchange,player.group_exchange,player.group_exchange_percent,player.total_op_individual_exchange,player.total_op_group_exchange,player.mpcr,player.round_points,player.player_role,player.player_role_list,player.paid_round,player.final_score,player.final_avg_ge,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,vhpaehbf,,0,107,297,csr_3_stageT,1,pregame,10.225.97.136,2017-05-22 05:09:26.548091+00:00,0,1,,,0,4,1,14.63,4.37,0.23,21.68,39.32,0.75,47.3975,,,,,,0,1,1,ewog1iq7,,,,,,1
2,972c1bkd,,0,170,297,csr_3_stageT,4,FinalResults1,10.225.97.136,2017-05-22 05:09:27.362986+00:00,0,1,,,155,3,1,12.54,6.46,0.34,23.77,37.23,0.75,45.3075,,,,,,0,1,1,ewog1iq7,,,,,,1
3,xqf4m64z,,0,171,297,csr_3_stageT,4,FinalResults2,10.225.97.136,2017-05-22 05:09:27.977651+00:00,0,1,,,140,1,1,8.14,13.86,0.63,28.17,29.83,0.75,40.9075,,,,,,0,1,1,ewog1iq7,,,,,,1
4,pysp3t9f,,0,104,297,csr_3_stageT,1,quiz2,10.225.97.136,2017-05-22 05:09:29.011673+00:00,0,1,,,0,2,1,1.0,19.0,0.95,35.31,24.69,0.75,33.7675,,,,,,0,1,1,ewog1iq7,,,,,,1
1,vhpaehbf,,0,107,297,csr_3_stageT,1,pregame,10.225.97.136,2017-05-22 05:09:26.548091+00:00,0,1,,,0,1,2,14.06,4.94,0.26,24.59,36.41,0.75,45.0725,,,,,,0,1,2,ewog1iq7,,,,,,1
2,972c1bkd,,0,170,297,csr_3_stageT,4,FinalResults1,10.225.97.136,2017-05-22 05:09:27.362986+00:00,0,1,,,155,3,2,11.21,7.79,0.41,27.44,33.56,0.75,42.2225,,,,,,0,1,2,ewog1iq7,,,,,,1
3,xqf4m64z,,0,171,297,csr_3_stageT,4,FinalResults2,10.225.97.136,2017-05-22 05:09:27.977651+00:00,0,1,,,140,4,2,8.58,13.42,0.61,30.07,27.93,0.75,39.5925,,,,,,0,1,2,ewog1iq7,,,,,,1
4,pysp3t9f,,0,104,297,csr_3_stageT,1,quiz2,10.225.97.136,2017-05-22 05:09:29.011673+00:00,0,1,,,0,2,2,4.8,15.2,0.76,33.85,26.15,0.75,35.8125,,,,,,0,1,2,ewog1iq7,,,,,,1
1,vhpaehbf,,0,107,297,csr_3_stageT,1,pregame,10.225.97.136,2017-05-22 05:09:26.548091+00:00,0,1,,,0,1,3,15.58,3.42,0.18,34.07,26.93,0.75,38.3425,,,,,,0,1,3,ewog1iq7,,,,,,1
2,972c1bkd,,0,170,297,csr_3_stageT,4,FinalResults1,10.225.97.136,2017-05-22 05:09:27.362986+00:00,0,1,,,155,4,3,18.05,0.95,0.05,31.6,29.4,0.75,40.8125,,,,,,0,1,3,ewog1iq7,,,,,,1
3,xqf4m64z,,0,171,297,csr_3_stageT,4,FinalResults2,10.225.97.136,2017-05-22 05:09:27.977651+00:00,0,1,,,140,3,3,11.22,10.78,0.49,38.43,19.57,0.75,33.9825,,,,,,0,1,3,ewog1iq7,,,,,,1
4,pysp3t9f,,0,104,297,csr_3_stageT,1,quiz2,10.225.97.136,2017-05-22 05:09:29.011673+00:00,0,1,,,0,2,3,4.8,15.2,0.76,44.85,15.15,0.75,27.5625,,,,,,0,1,3,ewog1iq7,,,,,,1
1,vhpaehbf,,0,107,297,csr_3_stageT,1,pregame,10.225.97.136,2017-05-22 05:09:26.548091+00:00,0,1,,,0,2,4,17.1,1.9,0.1,35.93,25.07,0.75,37.3275,F,"['F', 'F', 'A', 'A']",2,45.0725,0.1925,0,1,4,ewog1iq7,,,,,,1
2,972c1bkd,,0,170,297,csr_3_stageT,4,FinalResults1,10.225.97.136,2017-05-22 05:09:27.362986+00:00,0,1,,,155,4,4,14.63,4.37,0.23,38.4,22.6,0.75,34.8575,F,"['F', 'F', 'A', 'A']",2,42.2225,0.2575,0,1,4,ewog1iq7,,,,,,1
3,xqf4m64z,,0,171,297,csr_3_stageT,4,FinalResults2,10.225.97.136,2017-05-22 05:09:27.977651+00:00,0,1,,,140,3,4,14.3,7.7,0.35,38.73,19.27,0.75,34.5275,A,"['F', 'F', 'A', 'A']",2,39.5925,0.52,0,1,4,ewog1iq7,,,,,,1
4,pysp3t9f,,0,104,297,csr_3_stageT,1,quiz2,10.225.97.136,2017-05-22 05:09:29.011673+00:00,0,1,,,0,1,4,7.0,13.0,0.65,46.03,13.97,0.75,27.2275,A,"['F', 'F', 'A', 'A']",2,35.8125,0.78,0,1,4,ewog1iq7,,,,,,1
1,vhpaehbf,,0,107,297,csr_3_stageT,1,pregame,10.225.97.136,2017-05-22 05:09:26.548091+00:00,0,1,,,0,1,,,,,,,0.75,,,,,,,0,1,5,ewog1iq7,,,,,,1
2,972c1bkd,,0,170,297,csr_3_stageT,4,FinalResults1,10.225.97.136,2017-05-22 05:09:27.362986+00:00,0,1,,,155,4,,,,,,,0.75,,,,,,,0,1,5,ewog1iq7,,,,,,1
3,xqf4m64z,,0,171,297,csr_3_stageT,4,FinalResults2,10.225.97.136,2017-05-22 05:09:27.977651+00:00,0,1,,,140,2,,,,,,,0.75,,,,,,,0,1,5,ewog1iq7,,,,,,1
4,pysp3t9f,,0,104,297,csr_3_stageT,1,quiz2,10.225.97.136,2017-05-22 05:09:29.011673+00:00,0,1,,,0,3,,,,,,,0.75,,,,,,,0,1,5,ewog1iq7,,,,,,1
1,vhpaehbf,,0,107,297,csr_3_stageT,1,pregame,10.225.97.136,2017-05-22 05:09:26.548091+00:00,0,1,,,0,4,,,,,,,0.75,,,,,,,0,1,6,ewog1iq7,,,,,,1
2,972c1bkd,,0,170,297,csr_3_stageT,4,FinalResults1,10.225.97.136,2017-05-22 05:09:27.362986+00:00,0,1,,,155,2,,,,,,,0.75,,,,,,,0,1,6,ewog1iq7,,,,,,1
3,xqf4m64z,,0,171,297,csr_3_stageT,4,FinalResults2,10.225.97.136,2017-05-22 05:09:27.977651+00:00,0,1,,,140,3,,,,,,,0.75,,,,,,,0,1,6,ewog1iq7,,,,,,1
4,pysp3t9f,,0,104,297,csr_3_stageT,1,quiz2,10.225.97.136,2017-05-22 05:09:29.011673+00:00,0,1,,,0,1,,,,,,,0.75,,,,,,,0,1,6,ewog1iq7,,,,,,1
1,vhpaehbf,,0,107,297,csr_3_stageT,1,pregame,10.225.97.136,2017-05-22 05:09:26.548091+00:00,0,1,,,0,1,,,,,,,0.75,,,,,,,0,1,7,ewog1iq7,,,,,,1
2,972c1bkd,,0,170,297,csr_3_stageT,4,FinalResults1,10.225.97.136,2017-05-22 05:09:27.362986+00:00,0,1,,,155,4,,,,,,,0.75,,,,,,,0,1,7,ewog1iq7,,,,,,1
3,xqf4m64z,,0,171,297,csr_3_stageT,4,FinalResults2,10.225.97.136,2017-05-22 05:09:27.977651+00:00,0,1,,,140,3,,,,,,,0.75,,,,,,,0,1,7,ewog1iq7,,,,,,1
4,pysp3t9f,,0,104,297,csr_3_stageT,1,quiz2,10.225.97.136,2017-05-22 05:09:29.011673+00:00,0,1,,,0,2,,,,,,,0.75,,,,,,,0,1,7,ewog1iq7,,,,,,1
1,vhpaehbf,,0,107,297,csr_3_stageT,1,pregame,10.225.97.136,2017-05-22 05:09:26.548091+00:00,0,1,,,0,3,,,,,,,0.75,,,,,,,0,1,8,ewog1iq7,,,,,,1
