participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.user_text,player.is_correct,player.final_score,player.quiz_01,player.quiz_02,player.quiz_03,player.quiz_04,player.quiz_05,player.quiz_06,player.quiz_07,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,710aenu7,SSEL_B_01,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:44.953576+00:00,0,1,,,1,,,,,,,,,,,0,1,1,lh2adj16,,,,,,,,0
2,kinq3j0d,SSEL_B_02,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:50.557756+00:00,0,1,,,2,,,,,,,,,,,0,1,1,lh2adj16,,,,,,,,0
3,qntguhzg,SSEL_B_03,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:55.049510+00:00,0,1,,,3,,,,,,,,,,,0,1,1,lh2adj16,,,,,,,,0
4,vv84yx41,SSEL_B_04,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:00.578437+00:00,0,1,,,4,,,,,,,,,,,0,1,1,lh2adj16,,,,,,,,0
5,r1pba33y,SSEL_B_05,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:03.405408+00:00,0,1,,,1,,,,,,,,,,,0,2,1,lh2adj16,,,,,,,,0
6,6bh434eo,SSEL_B_08,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:13.967788+00:00,0,1,,,2,,,,,,,,,,,0,2,1,lh2adj16,,,,,,,,0
7,h3qp2fxk,SSEL_B_07,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.199,2017-03-26 10:38:19.358421+00:00,0,1,,,3,,,,,,,,,,,0,2,1,lh2adj16,,,,,,,,0
8,t5xn077y,SSEL_B_06,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:38:21.809491+00:00,0,1,,,4,,,,,,,,,,,0,2,1,lh2adj16,,,,,,,,0
1,710aenu7,SSEL_B_01,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:44.953576+00:00,0,1,,,1,,,,135,,,,,,,0,1,2,lh2adj16,,,,,,,,0
2,kinq3j0d,SSEL_B_02,0,1228,1245,csr_3_stageT_warmGlow,1,FinalResults,91.230.41.198,2017-03-26 10:37:50.557756+00:00,0,1,,,2,,,,135,,,,,,,0,1,2,lh2adj16,,,,,,,,0
