session_id,participant__id_in_session,participant__code,page_index,app_name,page_name,time_stamp,seconds_on_page,subsession_pk,auto_submitted
1,1,vhpaehbf,1,csr_2_vcm,WaitPage1,1495429769,3,1,False
1,1,vhpaehbf,2,csr_2_vcm,Instructions,1495429771,2,1,False
1,1,vhpaehbf,3,csr_2_vcm,WaitPage,1495429774,3,1,False
1,1,vhpaehbf,4,csr_2_vcm,SelectInvestment,1495429782,8,1,False
1,1,vhpaehbf,5,csr_2_vcm,WaitPage2,1495429785,3,1,False
1,1,vhpaehbf,6,csr_2_vcm,SelectInvestment_Review,1495429789,4,1,False
1,1,vhpaehbf,7,csr_2_vcm,ShuffleWaitPage,1495429791,2,1,False
1,1,vhpaehbf,12,csr_2_vcm,WaitPage,1495429791,0,2,False
1,1,vhpaehbf,13,csr_2_vcm,SelectInvestment,1495429798,7,2,False
1,1,vhpaehbf,14,csr_2_vcm,WaitPage2,1495429800,2,2,False
1,1,vhpaehbf,15,csr_2_vcm,SelectInvestment_Review,1495429802,2,2,False
1,1,vhpaehbf,16,csr_2_vcm,ShuffleWaitPage,1495429805,3,2,False
1,1,vhpaehbf,21,csr_2_vcm,WaitPage,1495429805,0,3,False
1,1,vhpaehbf,22,csr_2_vcm,SelectInvestment,1495429811,6,3,False
1,1,vhpaehbf,23,csr_2_vcm,WaitPage2,1495429813,2,3,False
1,1,vhpaehbf,24,csr_2_vcm,SelectInvestment_Review,1495429815,2,3,False
1,1,vhpaehbf,25,csr_2_vcm,ShuffleWaitPage,1495429817,2,3,False
1,1,vhpaehbf,30,csr_2_vcm,WaitPage,1495429817,0,4,False
1,1,vhpaehbf,31,csr_2_vcm,SelectInvestment,1495429824,7,4,False
1,1,vhpaehbf,32,csr_2_vcm,WaitPage2,1495429825,1,4,False
1,1,vhpaehbf,33,csr_2_vcm,SelectInvestment_Review,1495429831,6,4,False
1,1,vhpaehbf,35,csr_2_vcm,Part3_prep,1495429838,7,4,True
1,1,vhpaehbf,36,csr_2_vcm,WaitPage3,1495429838,0,4,False
1,1,vhpaehbf,39,csr_2_vcm,WaitPage,1495429839,1,5,False
1,1,vhpaehbf,48,csr_2_vcm,WaitPage,1495429840,1,6,False
1,1,vhpaehbf,57,csr_2_vcm,WaitPage,1495429841,1,7,False
1,1,vhpaehbf,66,csr_2_vcm,WaitPage,1495429841,0,8,False
1,1,vhpaehbf,75,csr_2_vcm,WaitPage,1495429842,1,9,False
1,1,vhpaehbf,84,csr_2_vcm,WaitPage,1495429843,1,10,False
1,1,vhpaehbf,93,csr_2_vcm,WaitPage,1495429843,0,11,False
1,1,vhpaehbf,100,csr_3_stageT,InitWaitPage,1495429845,2,1,False
1,1,vhpaehbf,101,csr_3_stageT,Instructions,1495429853,8,1,True
1,1,vhpaehbf,102,csr_3_stageT,quiz1,1495429880,27,1,False
1,1,vhpaehbf,103,csr_3_stageT,quiz1_sol,1495429881,1,1,False
1,1,vhpaehbf,104,csr_3_stageT,quiz2,1495429953,72,1,False
1,1,vhpaehbf,105,csr_3_stageT,quiz2_sol,1495429955,2,1,False
1,2,972c1bkd,1,csr_2_vcm,WaitPage1,1495429769,2,1,False
1,2,972c1bkd,2,csr_2_vcm,Instructions,1495429772,3,1,False
1,2,972c1bkd,3,csr_2_vcm,WaitPage,1495429773,1,1,False
1,2,972c1bkd,4,csr_2_vcm,SelectInvestment,1495429783,10,1,False
1,2,972c1bkd,5,csr_2_vcm,WaitPage2,1495429785,2,1,False
1,2,972c1bkd,6,csr_2_vcm,SelectInvestment_Review,1495429789,4,1,False
1,2,972c1bkd,7,csr_2_vcm,ShuffleWaitPage,1495429791,2,1,False
1,2,972c1bkd,12,csr_2_vcm,WaitPage,1495429791,0,2,False
1,2,972c1bkd,13,csr_2_vcm,SelectInvestment,1495429799,8,2,False
1,2,972c1bkd,14,csr_2_vcm,WaitPage2,1495429800,1,2,False
1,2,972c1bkd,15,csr_2_vcm,SelectInvestment_Review,1495429802,2,2,False
1,2,972c1bkd,16,csr_2_vcm,ShuffleWaitPage,1495429805,3,2,False
1,2,972c1bkd,21,csr_2_vcm,WaitPage,1495429805,0,3,False
1,2,972c1bkd,22,csr_2_vcm,SelectInvestment,1495429812,7,3,False
1,2,972c1bkd,23,csr_2_vcm,WaitPage2,1495429813,1,3,False
1,2,972c1bkd,24,csr_2_vcm,SelectInvestment_Review,1495429816,3,3,False
1,2,972c1bkd,25,csr_2_vcm,ShuffleWaitPage,1495429817,1,3,False
1,2,972c1bkd,30,csr_2_vcm,WaitPage,1495429818,1,4,False
1,2,972c1bkd,31,csr_2_vcm,SelectInvestment,1495429824,6,4,False
1,2,972c1bkd,32,csr_2_vcm,WaitPage2,1495429826,2,4,False
1,2,972c1bkd,33,csr_2_vcm,SelectInvestment_Review,1495429835,9,4,False
1,2,972c1bkd,35,csr_2_vcm,Part3_prep,1495429838,3,4,True
1,2,972c1bkd,36,csr_2_vcm,WaitPage3,1495429838,0,4,False
1,2,972c1bkd,39,csr_2_vcm,WaitPage,1495429839,1,5,False
1,2,972c1bkd,48,csr_2_vcm,WaitPage,1495429840,1,6,False
1,2,972c1bkd,57,csr_2_vcm,WaitPage,1495429840,0,7,False
1,2,972c1bkd,66,csr_2_vcm,WaitPage,1495429842,2,8,False
1,2,972c1bkd,75,csr_2_vcm,WaitPage,1495429842,0,9,False
1,2,972c1bkd,84,csr_2_vcm,WaitPage,1495429843,1,10,False
1,2,972c1bkd,93,csr_2_vcm,WaitPage,1495429843,0,11,False
1,2,972c1bkd,100,csr_3_stageT,InitWaitPage,1495429845,2,1,False
1,2,972c1bkd,101,csr_3_stageT,Instructions,1495429853,8,1,True
1,2,972c1bkd,102,csr_3_stageT,quiz1,1495429903,50,1,False
1,2,972c1bkd,103,csr_3_stageT,quiz1_sol,1495429958,55,1,False
1,2,972c1bkd,104,csr_3_stageT,quiz2,1495429969,11,1,False
1,2,972c1bkd,105,csr_3_stageT,quiz2_sol,1495429971,2,1,False
