participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._round_number,participant._current_page_name,participant.ip_address,participant.time_started,participant.exclude_from_data_analysis,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,player.id_in_group,player.ret_timer,player.user_text,player.is_correct,player.ret_final_score,player.round_payoff,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.time_scheduled,session.time_started,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,gbad8azr,,0,0,1527,,,,,,0,0,,,1,180,,,,,0,1,1,0wgxembq,,,,,,,,1
2,15l9y439,,0,0,1527,,,,,,0,0,,,2,180,,,,,0,1,1,0wgxembq,,,,,,,,1
3,db57zgo1,,0,0,1527,,,,,,0,0,,,3,180,,,,,0,1,1,0wgxembq,,,,,,,,1
4,hlk3chep,,0,0,1527,,,,,,0,0,,,4,180,,,,,0,1,1,0wgxembq,,,,,,,,1
1,gbad8azr,,0,0,1527,,,,,,0,0,,,1,180,,,,,0,1,2,0wgxembq,,,,,,,,1
2,15l9y439,,0,0,1527,,,,,,0,0,,,2,180,,,,,0,1,2,0wgxembq,,,,,,,,1
3,db57zgo1,,0,0,1527,,,,,,0,0,,,3,180,,,,,0,1,2,0wgxembq,,,,,,,,1
4,hlk3chep,,0,0,1527,,,,,,0,0,,,4,180,,,,,0,1,2,0wgxembq,,,,,,,,1
1,gbad8azr,,0,0,1527,,,,,,0,0,,,1,180,,,,,0,1,3,0wgxembq,,,,,,,,1
2,15l9y439,,0,0,1527,,,,,,0,0,,,2,180,,,,,0,1,3,0wgxembq,,,,,,,,1
3,db57zgo1,,0,0,1527,,,,,,0,0,,,3,180,,,,,0,1,3,0wgxembq,,,,,,,,1
4,hlk3chep,,0,0,1527,,,,,,0,0,,,4,180,,,,,0,1,3,0wgxembq,,,,,,,,1
1,gbad8azr,,0,0,1527,,,,,,0,0,,,1,180,,,,,0,1,4,0wgxembq,,,,,,,,1
2,15l9y439,,0,0,1527,,,,,,0,0,,,2,180,,,,,0,1,4,0wgxembq,,,,,,,,1
