"","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._round_number","participant._current_page_name","participant.ip_address","participant.time_started","participant.exclude_from_data_analysis","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.player_role","player.quiz_01_a","player.quiz_01_b","player.quiz_01_c","player.quiz_01_d","player.quiz_01_e","player.quiz_01_f","player.quiz_02_a","player.quiz_02_b","player.quiz_02_c","player.quiz_02_d","player.quiz_02_e","player.ret_score","player.vcm_score","player.vcm_ge_percent","player.passive_Player_Earnings","player.stage_round_count","player.paid_round","player.paid_active_round_score","player.round_payoff","player.GE_Low_A","player.GE_Low_F","player.mpcr","player.boycott_cost","player.passive_ge_contrib","player.A1_A_mult","player.A1_F_mult","player.F1_A_mult","player.F1_F_mult","player.A3_A_mult","player.A3_F_mult","player.N1_prob","player.A_stage1","player.F_stage2","player.A_stage3","player.Nature","player.terminal_choice","player.postStage_self_individual_exchange","player.postStage_self_ge","player.postStage_op_individual_exchange","player.postStage_op_group_exchange","player.postStage_round_points","player.followup_1","player.q_birthMonth","player.q_birthYear","player.q_sex","player.q_languages","player.q_YearsInUAE","player.q_nationality","player.q_major","player.q_part2strat","player.q_part3_A1strat","player.q_part3_F1strat","player.q_part3_A3strat","player.q_part3_dynamic","player.payoff","group.id_in_subsession","subsession.round_number","session.code","session.label","session.experimenter_name","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo","vcm_mean_ge_percent"
"1",1,"r0jay8hc","SSEL_B_05",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.71",2017-05-21 06:07:11,0,1,NA,NA,75,2,"F",5,15,23,33,26,26,16,26,13,33,0.75,20,20.2,0.135,18,1,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N2","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.135
"2",2,"6dsf0as6","SSEL_B_04",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.198",2017-05-21 06:07:15,0,1,NA,NA,55,1,"A",5,15,23,33,26,26,16,26,13,33,0.75,20,14.06,0.32,18,1,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.32
"3",3,"kv6j95uw","SSEL_B_03",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.115",2017-05-21 06:07:20,0,1,NA,NA,85,2,"F",5,15,23,33,26,26,16,26,13,33,0.75,20,29.5,0.07,18,1,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N2","N2",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.07
"4",4,"uczqnwc2","SSEL_B_02",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.142",2017-05-21 06:07:21,0,1,NA,NA,70,2,"F",5,15,23,33,26,26,16,26,13,33,0.75,20,22.86,0.092,21,1,NA,NA,26,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F1",NA,"N1","F1",15,5,5,15,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.092
"5",5,"0juhqjgp","SSEL_B_01",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.117",2017-05-21 06:07:24,0,1,NA,NA,75,2,"F",5,15,23,33,26,26,16,26,13,33,0.75,20,20.2,0.137,18,1,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.137
"6",6,"kzukhtoj","SSEL_B_06",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.203",2017-05-21 06:07:33,0,1,NA,NA,75,2,"F",5,15,23,33,26,26,16,26,13,33,0.75,20,22.06,0.205,18,1,NA,NA,33,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,NA,"F2",NA,"N1","A3",5,5,5,15,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.205
"7",7,"rg0w0s8o","SSEL_B_07",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.220",2017-05-21 06:07:36,0,1,NA,NA,70,1,"A",5,15,23,33,26,26,16,26,13,33,0.75,20,25.35,0.452,18,1,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N2","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.452
"8",8,"csyiejqy","SSEL_B_08",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.202",2017-05-21 06:07:40,0,1,NA,NA,60,1,"A",5,15,23,33,26,26,16,26,13,33,0.75,20,12.5,0.38,18,1,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A1",NA,"A3","N2","A1",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.38
"9",9,"4tdc12z8","SSEL_B_09",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.120",2017-05-21 06:07:42,0,1,NA,NA,60,1,"A",5,15,23,33,26,26,16,26,13,33,0.75,20,24.95,0.483,21,1,NA,NA,26,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","F1",5,15,5,15,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.483
"10",10,"hom8zhgd","SSEL_B_10",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.174",2017-05-21 06:07:45,0,1,NA,NA,65,1,"A",5,15,23,33,26,26,16,26,13,33,0.75,18,22.05,0.252,18,1,NA,NA,23,15,5,0.3,10,NA,1,1,1,3,1,1,0.75,"A2",NA,"A3","N1","A3",5,15,15,5,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,1,"2huaehm1",NA,NA,NA,NA,NA,0,0.252
