"","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._round_number","participant._current_page_name","participant.ip_address","participant.time_started","participant.exclude_from_data_analysis","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.vcm_round","player.individual_exchange","player.group_exchange","player.group_exchange_percent","player.total_op_individual_exchange","player.total_op_group_exchange","player.mpcr","player.round_points","player.player_role","player.player_role_list","player.paid_round","player.final_score","player.final_avg_ge","player.payoff","group.id_in_subsession","subsession.round_number","session.code","session.label","session.experimenter_name","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo"
"1",1,"r0jay8hc","SSEL_B_05",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.71",2017-05-21 06:07:11,0,1,NA,NA,75,1,1,15,5,0.25,30,30,0.3,25.5,NA,NA,NA,NA,NA,0,3,1,"2huaehm1",NA,NA,NA,NA,NA,0
"2",2,"6dsf0as6","SSEL_B_04",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.198",2017-05-21 06:07:15,0,1,NA,NA,55,3,1,12,8,0.4,30,30,0.3,23.4,NA,NA,NA,NA,NA,0,1,1,"2huaehm1",NA,NA,NA,NA,NA,0
"3",3,"kv6j95uw","SSEL_B_03",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.115",2017-05-21 06:07:20,0,1,NA,NA,85,1,1,17,3,0.15,48,12,0.3,21.5,NA,NA,NA,NA,NA,0,2,1,"2huaehm1",NA,NA,NA,NA,NA,0
"4",4,"uczqnwc2","SSEL_B_02",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.142",2017-05-21 06:07:21,0,1,NA,NA,70,4,1,19,1,0.05,26,32,0.3,28.9,NA,NA,NA,NA,NA,0,3,1,"2huaehm1",NA,NA,NA,NA,NA,0
"5",5,"0juhqjgp","SSEL_B_01",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.117",2017-05-21 06:07:24,0,1,NA,NA,75,4,1,10,10,0.5,55,5,0.3,14.5,NA,NA,NA,NA,NA,0,4,1,"2huaehm1",NA,NA,NA,NA,NA,0
"6",6,"kzukhtoj","SSEL_B_06",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.203",2017-05-21 06:07:33,0,1,NA,NA,75,4,1,14,6,0.3,28,32,0.3,25.4,NA,NA,NA,NA,NA,0,2,1,"2huaehm1",NA,NA,NA,NA,NA,0
"7",7,"rg0w0s8o","SSEL_B_07",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.220",2017-05-21 06:07:36,0,1,NA,NA,70,1,1,6,14,0.7,36,24,0.3,17.4,NA,NA,NA,NA,NA,0,1,1,"2huaehm1",NA,NA,NA,NA,NA,0
"8",8,"csyiejqy","SSEL_B_08",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.202",2017-05-21 06:07:40,0,1,NA,NA,60,2,1,6,14,0.7,39,19,0.3,15.9,NA,NA,NA,NA,NA,0,1,1,"2huaehm1",NA,NA,NA,NA,NA,0
"9",9,"4tdc12z8","SSEL_B_09",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.120",2017-05-21 06:07:42,0,1,NA,NA,60,2,1,11,9,0.45,34,24,0.3,20.9,NA,NA,NA,NA,NA,0,3,1,"2huaehm1",NA,NA,NA,NA,NA,0
"10",10,"hom8zhgd","SSEL_B_10",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.174",2017-05-21 06:07:45,0,1,NA,NA,65,3,1,9,9,0.5,36,24,0.3,18.9,NA,NA,NA,NA,NA,0,2,1,"2huaehm1",NA,NA,NA,NA,NA,0
"11",11,"8xkps67u","SSEL_B_11",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.26",2017-05-21 06:07:49,0,1,NA,NA,75,2,1,19,1,0.05,26,34,0.3,29.5,NA,NA,NA,NA,NA,0,4,1,"2huaehm1",NA,NA,NA,NA,NA,0
"12",12,"9qv3baca","SSEL_B_17",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.140",2017-05-21 06:07:54,0,1,NA,NA,80,1,1,19,1,0.05,46,14,0.3,23.5,NA,NA,NA,NA,NA,0,4,1,"2huaehm1",NA,NA,NA,NA,NA,0
"13",13,"hvdw3428","SSEL_B_15",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.62",2017-05-21 06:08:12,0,1,NA,NA,65,3,1,1,19,0.95,44,16,0.3,11.5,NA,NA,NA,NA,NA,0,4,1,"2huaehm1",NA,NA,NA,NA,NA,0
