"","participant.id_in_session","participant.code","participant.label","participant._is_bot","participant._index_in_pages","participant._max_page_index","participant._current_app_name","participant._round_number","participant._current_page_name","participant.ip_address","participant.time_started","participant.exclude_from_data_analysis","participant.visited","participant.mturk_worker_id","participant.mturk_assignment_id","participant.payoff","player.id_in_group","player.ret_timer","player.user_text","player.is_correct","player.ret_final_score","player.round_payoff","player.payoff","group.id_in_subsession","subsession.round_number","session.code","session.label","session.experimenter_name","session.mturk_HITId","session.mturk_HITGroupId","session.comment","session.is_demo"
"1",1,"r0jay8hc","SSEL_B_05",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.71",2017-05-21 06:07:11,0,1,NA,NA,75,1,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"2",2,"6dsf0as6","SSEL_B_04",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.198",2017-05-21 06:07:15,0,1,NA,NA,55,2,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"3",3,"kv6j95uw","SSEL_B_03",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.115",2017-05-21 06:07:20,0,1,NA,NA,85,3,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"4",4,"uczqnwc2","SSEL_B_02",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.142",2017-05-21 06:07:21,0,1,NA,NA,70,4,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"5",5,"0juhqjgp","SSEL_B_01",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.117",2017-05-21 06:07:24,0,1,NA,NA,75,5,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"6",6,"kzukhtoj","SSEL_B_06",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.203",2017-05-21 06:07:33,0,1,NA,NA,75,6,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"7",7,"rg0w0s8o","SSEL_B_07",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.220",2017-05-21 06:07:36,0,1,NA,NA,70,7,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"8",8,"csyiejqy","SSEL_B_08",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.202",2017-05-21 06:07:40,0,1,NA,NA,60,8,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"9",9,"4tdc12z8","SSEL_B_09",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.120",2017-05-21 06:07:42,0,1,NA,NA,60,9,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"10",10,"hom8zhgd","SSEL_B_10",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.174",2017-05-21 06:07:45,0,1,NA,NA,65,10,120,"dwg5",0,2,0,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"11",11,"8xkps67u","SSEL_B_11",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.26",2017-05-21 06:07:49,0,1,NA,NA,75,11,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"12",12,"9qv3baca","SSEL_B_17",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.140",2017-05-21 06:07:54,0,1,NA,NA,80,12,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"13",13,"hvdw3428","SSEL_B_15",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.62",2017-05-21 06:08:12,0,1,NA,NA,65,13,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"14",14,"96qvu9ce","SSEL_B_14",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.130",2017-05-21 06:08:14,0,1,NA,NA,60,14,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"15",15,"t673xkwr","SSEL_B_13",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.188",2017-05-21 06:08:16,0,1,NA,NA,70,15,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"16",16,"eu53pcc8","SSEL_B_12",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.104",2017-05-21 06:08:43,0,1,NA,NA,75,16,120,"dWg5",1,4,1,0,1,3,"2huaehm1",NA,NA,NA,NA,NA,0
"17",1,"r0jay8hc","SSEL_B_05",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.71",2017-05-21 06:07:11,0,1,NA,NA,75,1,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"18",2,"6dsf0as6","SSEL_B_04",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.198",2017-05-21 06:07:15,0,1,NA,NA,55,2,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"19",3,"kv6j95uw","SSEL_B_03",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.115",2017-05-21 06:07:20,0,1,NA,NA,85,3,120,"5kdA",0,4,0,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"20",4,"uczqnwc2","SSEL_B_02",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.142",2017-05-21 06:07:21,0,1,NA,NA,70,4,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"21",5,"0juhqjgp","SSEL_B_01",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.117",2017-05-21 06:07:24,0,1,NA,NA,75,5,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"22",6,"kzukhtoj","SSEL_B_06",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.203",2017-05-21 06:07:33,0,1,NA,NA,75,6,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"23",7,"rg0w0s8o","SSEL_B_07",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.220",2017-05-21 06:07:36,0,1,NA,NA,70,7,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"24",8,"csyiejqy","SSEL_B_08",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.202",2017-05-21 06:07:40,0,1,NA,NA,60,8,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"25",9,"4tdc12z8","SSEL_B_09",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.120",2017-05-21 06:07:42,0,1,NA,NA,60,9,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"26",10,"hom8zhgd","SSEL_B_10",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.174",2017-05-21 06:07:45,0,1,NA,NA,65,10,120,"6kdA",1,4,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"27",11,"8xkps67u","SSEL_B_11",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.26",2017-05-21 06:07:49,0,1,NA,NA,75,11,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"28",12,"9qv3baca","SSEL_B_17",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.140",2017-05-21 06:07:54,0,1,NA,NA,80,12,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"29",13,"hvdw3428","SSEL_B_15",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.62",2017-05-21 06:08:12,0,1,NA,NA,65,13,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"30",14,"96qvu9ce","SSEL_B_14",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.77.130",2017-05-21 06:08:14,0,1,NA,NA,60,14,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"31",15,"t673xkwr","SSEL_B_13",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.188",2017-05-21 06:08:16,0,1,NA,NA,70,15,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"32",16,"eu53pcc8","SSEL_B_12",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.104",2017-05-21 06:08:43,0,1,NA,NA,75,16,120,"6kdA",1,6,1,0,1,4,"2huaehm1",NA,NA,NA,NA,NA,0
"33",1,"r0jay8hc","SSEL_B_05",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.71",2017-05-21 06:07:11,0,1,NA,NA,75,1,120,"ep7o",1,8,1,0,1,5,"2huaehm1",NA,NA,NA,NA,NA,0
"34",2,"6dsf0as6","SSEL_B_04",0,803,821,"csr_3_stageT",10,"FinalResults1","10.224.76.198",2017-05-21 06:07:15,0,1,NA,NA,55,2,120,"ep7o",1,8,1,0,1,5,"2huaehm1",NA,NA,NA,NA,NA,0
